location_name,date,ili,pred_hosp,true_hosp,scale_factor,population,prelim_hosp,total_hosp
Alabama,2002-08-31,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-09-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-09-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-09-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-09-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-10-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-10-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-10-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-10-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-11-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-11-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-11-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-11-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-11-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-12-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-12-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-12-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-12-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-01-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-01-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-01-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-01-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-02-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-02-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-02-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-02-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-03-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-03-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-03-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-03-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-03-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-04-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-04-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-04-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-04-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-05-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-05-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-05-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-05-24,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-05-31,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-06-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-06-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-06-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-06-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-07-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-07-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-07-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-07-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-08-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-08-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-08-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-08-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-08-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-09-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-09-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-09-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-09-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-10-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-10-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-10-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-10-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-11-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-11-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2003-11-15,NA,NA,NA,1,5039877,NA,NA
