location,n_forecasts,actual_mean,actual_std,model_median_mean,mean_bias_applied,date_range
New Hampshire,9,134.33333333333334,83.54107439524053,81.30448528010288,0.0,2025-12-06 to 2026-01-31
New Hampshire,5,80.0,47.227110858065416,87.76432996480901,0.0,2026-01-10 to 2026-02-07
New Hampshire,5,67.6,25.554647326856227,53.20746099112504,0.0,2026-01-17 to 2026-02-14
New Jersey,9,844.1111111111111,509.542157114152,745.2537611970774,0.0,2025-12-06 to 2026-01-31
New Jersey,5,347.4,170.88545871430955,516.5224561060396,0.0,2026-01-10 to 2026-02-07
New Jersey,5,263.0,78.16648898345122,363.4849508842274,0.0,2026-01-17 to 2026-02-14
New Mexico,9,199.88888888888889,114.98641895115212,193.10428645840355,0.0,2025-12-06 to 2026-01-31
New Mexico,5,139.4,22.61503924383064,161.53862415580676,0.0,2026-01-10 to 2026-02-07
New Mexico,5,109.2,31.530302884685398,126.47572231827678,0.0,2026-01-17 to 2026-02-14
New York,9,1962.4444444444443,1346.6755866957972,1720.9560538026587,0.0,2025-12-06 to 2026-01-31
New York,5,558.6,373.1217495670817,1011.0408900200118,0.0,2026-01-10 to 2026-02-07
New York,5,380.8,158.0017721419605,605.6494428236334,0.0,2026-01-17 to 2026-02-14
North Carolina,9,1091.111111111111,780.4858094580786,883.4024105029212,0.0,2025-12-06 to 2026-01-31
North Carolina,5,433.0,119.02436725309656,664.654212370085,0.0,2026-01-10 to 2026-02-07
North Carolina,5,368.6,83.8679915104684,433.06280452338615,0.0,2026-01-17 to 2026-02-14
North Dakota,9,79.11111111111111,38.72823960897108,61.15376645491719,0.0,2025-12-06 to 2026-01-31
North Dakota,5,60.0,22.777181564012697,75.5344514096441,0.0,2026-01-10 to 2026-02-07
North Dakota,5,45.0,19.204166214652485,59.86070744337808,0.0,2026-01-17 to 2026-02-14
Ohio,9,969.1111111111112,519.2123189012038,821.7825386569211,0.0,2025-12-06 to 2026-01-31
Ohio,5,633.2,143.89218185850126,627.8195399414724,0.0,2026-01-10 to 2026-02-07
Ohio,5,605.8,78.3540681777277,537.0557551929672,0.0,2026-01-17 to 2026-02-14
Oklahoma,9,166.11111111111111,60.35164444863389,192.97074818070053,0.0,2025-12-06 to 2026-01-31
Oklahoma,5,193.0,27.018512172212592,228.8501387818207,0.0,2026-01-10 to 2026-02-07
Oklahoma,5,232.0,46.93825731745907,234.3026708467301,0.0,2026-01-17 to 2026-02-14
Oregon,9,199.44444444444449,113.11067452437028,190.83134743901567,0.0,2025-12-06 to 2026-01-31
Oregon,5,349.8,126.0180939389261,211.6744115368608,0.0,2026-01-10 to 2026-02-07
Oregon,5,361.0,122.80553733443782,207.72071904383088,0.0,2026-01-17 to 2026-02-14
Pennsylvania,9,1639.0,828.6796727324738,1531.315419084474,0.0,2025-12-06 to 2026-01-31
Pennsylvania,5,1145.8,391.8711012565229,1347.0108636791826,0.0,2026-01-10 to 2026-02-07
Pennsylvania,5,919.2,181.83333027803235,1014.3413697467812,0.0,2026-01-17 to 2026-02-14
Puerto Rico,9,262.1111111111111,74.38704254616816,290.70001739387976,0.0,2025-12-06 to 2026-01-31
Puerto Rico,5,197.8,56.09777179175658,226.12561401245785,0.0,2026-01-10 to 2026-02-07
